UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1110440134,1096,2023/07/21,2024/02/15,11-645,Turn Control - Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-113.9566714 50.879734)
1110006918,B2557,2016/08/29,2019/06/26,14-320,TAC Pedestrian Corridor,900x1200,Other,Active,Arm,POINT (-114.0625645 51.0779389)
1109354077,0218,2002/06/18,2020/01/24,11-652,Turn Control - Dual Left + Thru,900x900,Flat Sheet,As-built,Arm,POINT (-113.982025 51.0626658)
1110122827,1166,2018/09/06,2018/12/19,11-250,Keep Right Except Transit,600x750,Flat Sheet,As-built,Trunk,POINT (-113.978384 51.0378171)
1109714557,0718,2006/06/27,2017/07/28,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0623944 50.9302345)
1110090110,B2887,2023/08/16,2024/01/09,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9831505 51.048094)
1109355771,0553,2009/08/20,2011/03/14,17-110,YOSG,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.2032196 51.0379516)
1109356945,2706,2001/08/14,2016/07/11,14-318,Pedestrian Corridor,750x3000,Other,As-built,Arm,POINT (-114.1042412 51.1398438)
1110144828,0317,2001/01/01,2018/03/21,11-647,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0859806 51.0481861)
1110025515,0605,2016/10/20,2016/11/03,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Pedestal,POINT (-114.0487913 51.0011947)
1109356739,0290,,2012/06/07,11-225,No Right Turn on Red,600x900,Flat Sheet,Active,Pedestal,POINT (-114.0830163 51.0500418)
1110277411,0877,2020/03/16,2020/10/02,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9585125 50.9939293)
1109542810,0930,2005/02/22,2018/03/19,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0607322 51.1541929)
1109697214,1028,2012/06/29,2017/02/27,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9533779 50.8835542)
1110215340,0843,2010/06/17,2019/03/18,11-005,Yield On Solid Green,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.0436613 50.9825374)
1110024796,0810,2009/07/20,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2132 51.1496676)
1110332394,0219,2021/09/13,2021/11/10,11-250,Keep Right,600x750,Flat Sheet,Active,Pedestal,POINT (-113.9583774 51.0623927)
1110211096,B2719,2019/03/27,2019/10/16,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9693098 50.8688991)
1110241260,1039,2019/10/22,2020/06/02,SPECIAL,Bike Use Pedestrian Signal,,Flat Sheet,As-built,Pedestal,POINT (-114.0512433 51.0486783)
1110060844,B2879,2017/06/14,2019/04/29,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Streetlight,POINT (-114.0871832 50.9178341)
1110139087,0060,2018/10/16,2019/04/03,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,,POINT (-113.958674 51.0960146)
1109974815,1030,2015/09/04,2016/01/27,17-110,Yield on Solid Green,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.0016443 50.9636163)
1110440536,0212,2023/07/20,2023/11/01,11-810,No Turns,900x900,Flat Sheet,As-built,Arm,POINT (-113.9353769 51.0671217)
1110102612,0315,,2017/08/23,11-245,One Way - Arrow Right,450x1350,Flat Sheet,As-built,Trunk,POINT (-114.0552465 51.0483313)
1109762698,B2783,2014/02/18,2022/06/20,14-308,Pedestrian Crosswalk,600x900,Flat Sheet,As-built,Pedestal,POINT (-114.0994958 51.0423833)
1109354142,3472,2000/01/01,2010/11/15,11-951,Reserved Lane,900x1500,Flat Sheet,As-built,Arm,POINT (-114.0624029 51.0698011)
1109757230,B2517,2015/09/23,2019/06/26,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.155046 51.1049075)
1110057518,0447,2016/07/25,2022/06/10,,Bike Signal,600x750,Flat Sheet,As-built,Trunk,POINT (-114.1114727 51.0377137)
1110182852,0498,2002/12/27,2018/09/13,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0596194 51.0306926)
