CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
72 AVE NE,HUNTRIDGE HILL NE,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.06332711911622 51.11799106012883)
28 AVE SW,37 ST SW,REGULAR,REGULAR CROSSWALK,2,PAINT,NEW,POINT (-114.14113313749769 51.02872974990781)
SCURFIELD DR NW,SCRIPP LANDING NW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.22273807942005 51.11970553022884)
ELBOW DR SW,CANTABRIAN DR SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.08484218929377 50.945970069965405)
23 AVE NW,CAPITOL HILL CR NW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.11555054369795 51.071518996046066)
HUNTERVIEW DR NW,WALKWAY S OF BERKLEY DR,MIDBLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.0853495710996 51.12519333084057)
68 ST NE,MEMORIAL DR NE,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-113.93512693739065 51.05242761686277)
SOUTHLAND DR SW,300M E/OF 14 ST SW,MIDBLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.09120661902452 50.96227462279333)
TEMPLE DR NE,TEMPLEMONT DR NE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.95570930208976 51.091401753466165)
19 AVE SE,ASPEN CR SE,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.99089355550782 51.03607793422131)
10 AVE SE,3 ST SE,RSM,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-114.05581476639587 51.04309226039967)
CENTRE ST N,TACHE AVE NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,S,POINT (-114.06243133083812 51.1080623621983)
14 AVE SW,6 ST SW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.07674341320781 51.039898185222775)
BEDFORD DR NE,BEDWOOD RD NE,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.05985635296612 51.127996314646744)
18 ST SE,RIVERBEND GATE SE,SIGNAL,RIGHT TURN,2,PAINT,EW,POINT (-114.01576605846478 50.97571491124816)
SHAGANAPPI TR NW,BELLE RD NW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.1460298046638 51.101239101442744)
SCURFIELD DR NW,SCENIC COVE DR NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,S,POINT (-114.21096952833203 51.12094354082371)
EDMONTON TR NE,12 AVE NE,SIGNAL,STOP X,2,PAINT,NS,POINT (-114.05607427972414 51.06331611607121)
OGDEN RD SE,74 AVE SE,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.99881567480568 50.986883647178395)
11 ST SE,58 AV SE,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.03728818731794 51.00175897699251)
LAKE BONAVISTA DR SE,LAKE ROSEN CR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.06156186204556 50.9463052776104)
13 AVE SW,40 ST SW,SCHOOL,LADDER CROSSWALK,2,PAINT,SE,POINT (-114.14547820706231 51.04150623641619)
WENTWORTH RISE SW,WENTWORTH AVE SW,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-114.21343934215898 51.05894814439194)
SBND EXIT FR 14 ST SW,9 AVE EBND,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.09487464363878 51.046592903418144)
4 AVE SW,8 ST SW,DOWNTOWN,STOP LINE,3,MMA,NSE,POINT (-114.08097369360735 51.049836574230156)
68 ST SE,14 AVE SE,CORRIDOR,STOP LINE,1,PAINT,W,POINT (-113.93512079584569 51.04052098550678)
TARADALE DR NE,TARAVISTA WAY,SCHOOL,LADDER CROSSWALK,4,PAINT,NSEW,POINT (-113.9270892362594 51.116643973502406)
WALDEN GATE SE,WALDEN DR SE,RSM,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-114.03493444000074 50.87454019215071)
SOUTHLAND DR SW,OAKMOOR WAY SW,REGULAR,STOP LINE,2,PAINT,NS,POINT (-114.12436180220932 50.96127823738762)
RICHMOND RD SW,STEWART GREEN SW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.16799654247697 51.01783218457973)
53 ST NW,VARSITY ESTATES DR NW,MULTIWAYS,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-114.16651575066868 51.10373599248924)
RANCHVIEW DR NW,RANCHRIDGE RD NW,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.18169149235909 51.12026248442302)
23 ST NE,3 AVE NE,MULTIWAYS,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.00465425986883 51.054698744255234)
